id,invoice_type,policy_number,coverage_start_date,coverage_end_date,due_date,status,pre_levy_amount,total_amount,refund_date,charge_date
d1bca035-9f07-4d76-a6b1-9b9e2c444e77,regular,2141605481,2019-09-06T11:32:12.803058+08:00,2019-10-06T11:32:12.803058+08:00,2019-09-06T11:32:12.803058+08:00,free,0,0,NULL,NULL
557fe953-50ab-4277-bb53-0978149a3e0e,regular,1092357722,2021-05-16T14:31:12.603067+08:00,2021-06-16T14:31:12.603067+08:00,2021-05-16T14:31:12.603067+08:00,paid,200,200.2,NULL,2021-05-17T12:00:17.092921+08:00
dbafbe6e-55f9-4fd4-b9a6-3defee5f3b01,regular,1213746921,2019-09-05T17:34:38.630843+08:00,2019-10-05T17:34:38.630843+08:00,2019-09-05T17:34:38.630843+08:00,paid,1034,1034.62,NULL,2019-09-06T12:00:46.03508+08:00
058d8298-b96f-432e-b510-77661b4ec762,regular,799162201,2019-09-06T11:08:07.401641+08:00,2019-10-06T11:08:07.401641+08:00,2019-09-06T11:08:07.401641+08:00,paid,104,104.06,NULL,2019-09-06T12:00:49.071365+08:00
6d96f276-caa0-44e8-8353-4ebc879295d4,regular,1661166278,2019-10-20T10:26:41.209538+08:00,2019-11-20T10:26:41.209538+08:00,2019-10-20T10:26:41.209538+08:00,paid,191,191.11,NULL,2019-10-20T12:00:28.545709+08:00
0a87a4ce-f731-4984-8084-248a918e3c7b,regular,1104173200,2020-07-09T00:09:33.682007+08:00,2020-08-09T00:09:33.682007+08:00,2020-07-09T00:09:33.682007+08:00,refunded,373,373.32,2020-07-13T20:55:06.706586+08:00,2020-07-13T20:54:26.265199+08:00
7bc1f89d-b06c-4f05-9347-58b80044b4bd,regular,816673366,2019-10-20T10:29:21.819328+08:00,2019-11-20T10:29:21.819328+08:00,2019-10-20T10:29:21.819328+08:00,paid,436,436.26,NULL,2019-10-20T12:00:31.551447+08:00
63e483d1-770d-42d9-b2b6-f762aad33b76,regular,1074096054,2020-07-13T17:28:56.115346+08:00,2020-08-13T17:28:56.115346+08:00,2020-07-13T17:28:56.115346+08:00,paid,111,111.07,NULL,2020-07-14T12:00:39.111556+08:00
89a041d3-377b-4488-8aeb-8ef8ef1ca427,regular,1217091529,2020-07-13T16:56:26.736027+08:00,2020-08-13T16:56:26.736027+08:00,2020-07-13T16:56:26.736027+08:00,paid,111,111.07,NULL,2020-07-14T12:00:40.182197+08:00
6436760f-627d-4a91-9e78-9d658868581e,regular,1593864955,2019-09-30T17:30:38.74042+08:00,2019-10-30T17:30:38.74042+08:00,2019-09-30T17:30:38.74042+08:00,paid,640,640.38,NULL,2019-10-01T12:00:26.59494+08:00
683e6e82-3291-482f-a518-87ecbf4bf35a,regular,1017321090,2019-09-30T14:41:16.572712+08:00,2019-10-30T14:41:16.572712+08:00,2019-09-30T14:41:16.572712+08:00,paid,121,121.07,NULL,2019-10-01T12:00:29.63004+08:00
6a600ed4-b794-4645-b69c-764dcfd1d051,regular,2027633965,2020-07-13T15:10:47.578737+08:00,2020-08-13T15:10:47.578737+08:00,2020-07-13T15:10:47.578737+08:00,paid,137,137.12,NULL,2020-07-14T12:00:42.358551+08:00
1621332e-97ae-4e6a-91c3-31290cea06d0,regular,451487022,2019-10-03T10:36:40.215814+08:00,2019-11-03T10:36:40.215814+08:00,2019-10-03T10:36:40.215814+08:00,paid,1663,1664,NULL,2019-10-03T12:00:10.687048+08:00
1f3027c7-8b7e-41f7-9317-69af7a593c9c,regular,247616464,2019-10-24T11:22:06.000626+08:00,2019-11-24T11:22:06.000626+08:00,2019-10-24T11:22:06.000626+08:00,free,0,0,NULL,NULL
8679832f-9275-423e-8939-519a9c30bf72,regular,2087858115,2019-10-03T13:00:37.801177+08:00,2019-11-03T13:00:37.801177+08:00,2019-10-03T13:00:37.801177+08:00,paid,253,253.15,NULL,2019-10-04T12:00:37.343411+08:00
e3386bb9-8d24-434d-8f45-438086ad257a,regular,39668131,2019-10-23T17:15:51.51315+08:00,2019-11-23T17:15:51.51315+08:00,2019-10-23T17:15:51.51315+08:00,paid,130,130.08,NULL,2019-10-24T12:00:41.647919+08:00
a0ef1ac8-0380-4ce2-ad5f-75e722343c03,regular,1213746921,2019-10-05T17:34:38.630843+08:00,2019-11-05T17:34:38.630843+08:00,2019-10-05T17:34:38.630843+08:00,paid,1034,1034.62,NULL,2019-10-07T12:00:10.542558+08:00
872ecbfd-7df5-4806-a108-8d9464b1c083,regular,799162201,2019-10-06T11:08:07.401641+08:00,2019-11-06T11:08:07.401641+08:00,2019-10-06T11:08:07.401641+08:00,paid,104,104.06,NULL,2019-10-07T12:00:13.760014+08:00
31cca39f-a971-4eed-8497-aeab9ddb1c37,regular,2141605481,2019-10-06T11:32:12.803058+08:00,2019-11-06T11:32:12.803058+08:00,2019-10-06T11:32:12.803058+08:00,paid,104,104.06,NULL,2019-10-07T12:00:16.447594+08:00
448fee55-92da-4e81-8f68-228f2c933966,regular,547184045,2019-10-23T12:14:51.801014+08:00,2019-11-23T12:14:51.801014+08:00,2019-10-23T12:14:51.801014+08:00,paid,360,360.22,NULL,2019-10-24T12:00:44.829862+08:00
2ee88805-b63c-4be0-a189-a735c4d62abc,regular,764567039,2019-10-08T12:14:38.945442+08:00,2019-11-08T12:14:38.945442+08:00,2019-10-08T12:14:38.945442+08:00,paid,124,124.07,NULL,2019-10-09T12:00:41.753795+08:00
d9bb0328-3acd-4b9c-81e6-3aa22f2eefb4,regular,406939769,2020-07-14T17:31:42.891716+08:00,2020-08-14T17:31:42.891716+08:00,2020-07-14T17:31:42.891716+08:00,paid,181,181.15,NULL,2020-07-15T12:00:22.058737+08:00
9b7a4598-4dd1-462a-9ea8-e5ff7fd63c15,regular,1307510269,2020-07-15T00:59:20.049225+08:00,2020-08-15T00:59:20.049225+08:00,2020-07-15T00:59:20.049225+08:00,paid,117,117.1,NULL,2020-07-15T12:00:24.397329+08:00
83cc36e8-f5ba-4a02-9f52-ddf1f095e109,regular,1640063714,2019-10-24T18:01:36.31872+08:00,2019-11-24T18:01:36.31872+08:00,2019-10-24T18:01:36.31872+08:00,paid,166,166.1,NULL,2019-10-25T12:00:10.425127+08:00
feaa818a-b312-41d0-b4b7-22cd1d4a755e,regular,55467548,2019-10-10T19:05:26.606496+08:00,2019-11-10T19:05:26.606496+08:00,2019-10-10T19:05:26.606496+08:00,paid,202,202.12,NULL,2019-10-11T12:00:44.694295+08:00
